#,State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy,Poverty
-,India,1210854977,0.1764,3287240,382,940,74.04,21.91674732
1,Uttar Pradesh,199812341,0.2023,240928,829,912,67.68,29.42638322
2,Maharashtra,112374333,0.1599,307713,365,929,82.34,17.35063984
3,Bihar,104099452,0.2542,94163,1106,918,61.8,33.73786985
4,West Bengal,91276115,0.1384,88752,1028,950,76.26,19.97893208
5,Andhra Pradesh,84580777,0.1098,275045,308,993,67.02,9.197709356
6,Madhya Pradesh,72626809,0.2035,308252,236,931,69.32,31.64881117
7,Tamil Nadu,72147030,0.1561,130060,555,996,80.09,11.28484944
8,Rajasthan,68548437,0.2131,342239,200,928,66.11,14.70864855
9,Karnataka,61095297,0.156,191791,319,973,75.36,20.90941937
10,Gujarat,60439692,0.1928,196244,308,919,78.03,16.62597527
11,Orissa,41974218,0.1405,155707,270,979,72.87,32.59057377
12,Kerala,33406061,0.0491,38852,860,1084,94,7.053831754
13,Jharkhand,32988134,0.2242,79716,414,948,66.41,36.95908815
14,Assam,31205576,0.1707,78438,398,958,72.19,31.98437566
15,Punjab,27743338,0.1389,50362,551,895,75.84,8.256610274
16,Chhattisgarh,25545198,0.2261,135192,189,991,70.28,39.92998127
17,Haryana,25351462,0.199,44212,573,879,75.55,11.15591433
18,Delhi,16787941,0.2121,1483,11320,868,86.21,9.910001674
19,Jammu and Kashmir,12541302,0.2364,222236,56,889,67.16,10.34850791
20,Uttarakhand,10086292,0.1881,53483,189,963,78.82,11.26180779
21,Himachal Pradesh,6864602,0.1294,55673,123,972,82.8,8.059280962
22,Tripura,3673917,0.1484,10486,350,960,87.22,14.04907155
23,Meghalaya,2966889,0.2795,22429,132,989,74.43,11.8686921
24,Manipur,2855794,0.245,22327,128,985,76.94,36.89198372
25,Nagaland,1978502,-0.0058,16579,119,931,79.55,18.88107889
26,Goa,1458545,0.0823,3702,394,973,88.7,5.087567724
27,Arunachal Pradesh,1383727,0.2603,83743,17,938,65.38,34.67328182
28,Puducherry,1247953,0.2808,490,2547,1037,85.85,9.694881584
29,Mizoram,1097206,0.2348,21081,52,976,91.33,20.40309873
30,Chandigarh,1055450,0.1719,114,9258,818,86.05,21.81423681
31,Sikkim,610577,0.1289,7096,86,890,81.42,8.190270871
32,Andaman and Nicobar Islands,380581,0.0686,8249,46,876,86.63,1.004036088
33,Dadra and Nagar Haveli,343709,0.5588,491,700,774,76.24,39.3090283
34,Daman and Diu,243247,0.5376,111,2191,618,87.1,9.864115622
35,Lakshadweep,64473,0.063,30,2149,946,91.85,2.770691792
